Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,"$144,999
/yr (est.)","Who you are
The first Data Scientist at Finrise will play an imperative role in enabling patient financing for out-of-pocket healthcare expenses. You recognize that 56% of Americans with a less than ideal FICO Score need new ways to evaluate creditworthiness in efficient and holistic ways. You’re excited about tackling technical problems that most wouldn’t dare touch. Working with unstructured and nontraditional data doesn’t scare you. Data science, predictive models, and statistics are second nature. You excel in building machine learning systems, conducting foolproof analyses, and leading cross functional projects. While banks are busy evaluating 30-year-old FICO scores, created before a time of the internet and smartphones, you’re building models which will decide who to lend to in real-time. Instead of hiring hundreds of people to manually review, you’re adding new data points to ensure accurate scoring. You’re hands-on, creative, and hyper-analytical. You understand that the ultimate measurement of success is enabling patients to afford care in a time of need, with a fair rate, in terms they understand. At the end of the day, you want to change the way credit is evaluated.
Show more",3.8,Finrise,"Burlingame, CA",1 to 50 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist,"$97,660
/yr (est.)","We are looking for a Data Scientist! The data scientist harnesses the largest pediatric healthcare dataset in the nation to deliver analytics, insights, and solutions that help us create a healthier future for our global community. The individual in this role delivers data analytics and supports the development and implementation of advanced analytic tools to meet the needs of teams throughout the organization. Works with a multidisciplinary team to design, develop, and
create analytical solutions through applications of data mining, machine learning, artificial intelligence (AI), and emerging technologies. Collaborates with clinical, business, and information systems team members to ideate and create new analytic.
solutions impacting patient care and hospital operations. Partners with subject matter experts to understand the relationship between workflows and data, and uses that data to create innovative solutions that support and advance targeted outcomes.
Exercises knowledge of descriptive, predictive, and multivariate statistical techniques and applications, and database analysis tools and techniques, to develop strategic insights to drive operational and clinical goals.
Teaches developers, architects and analysts how to work effectively with vast quantities of data.
The Data Scientist provides data science and statistical support for advanced analytics projects at Texas Children's Hospital. Analyzes and interprets clinical, operational, and other data to provide insight into care delivery and operational initiatives. Responsible for
evaluating data quality, preparing data, generating insights, and developing and presenting high-impact data stories. Serves as a subject matter expert associated with data analysis processes, advanced analytics techniques, statistics, and meaningful.
data visualizations. Provides consultation and support in the development, analysis, interpretation, and management of a variety of complex data sources. Works on multiple concurrent projects.
Think you've got what it takes?






Show more",4.0,Texas Children's Hospital,"Houston, TX",10000+ Employees,1954,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD)
Data Scientist,"$102,945
/yr (est.)","Data Scientist
Employer: SmartUQ LLC
Work location: 3545 University Ave. Madison, WI 53705
Job Duties:
Develop advanced statistical and data analytics algorithms and methods for uncertainty
quantification, design of experiments, predictive modeling, etc.
Implement different statistical methods, data analytics algorithms, and machine learning
algorithms in both R and C++.
Develop state-of-the-art statistical methods to improve the accuracy and efficiency of existing
methodologies.















Show more",-1.0,SmartUQ,"Madison, WI",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Machine Learning Engineer/ Data Scientist,"$193,050
/yr (est.)","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity
The Adobe Document Cloud's AI & Innovation Team is looking for an experienced Machine Learning Engineer to help with a variety of Evaluations related to LLMs . Th e Adobe Document Cloud is responsible for technologies for building, manipulating and consuming PDF fil es across a range of services, mobile apps and desktop products. The flagship PDF application within DC i s Adobe Acrobat, which is installed on over a billion devices and opens billions of PDFs eve ry year. Our offerings extend beyond Acrobat to Adobe Sign, Document Cloud Platform, and Adobe Scan.

The team’s mission is to perform scientific evaluation through metrics, experiments and inferences to build new experiences with documents, across our entire suite of offerings. Our most recent public features are Liquid Mode , allowing a flawless reflow experience for PDFs phones and tablets; PDF Extract API for unlocking the structure and content elements of any PDF; Table Decomposition feature in Liquid Mode; and now new generative AI features. All products are driven by AI. Our solutions are deployed on mobile devices, in the cloud, and on desktop.

As a Machine Learning Engineer , you will get to democratize (generative) AI for all and empower a team of accomplished scientists and engineers who are dedicated to building the future of AI and documents and delivering delightful experiences.

What you'll do
We are looking for a Machine Learning Engineer to design, lead and facilitate decisions on our features being built through scientific evaluations which includes defining metrics, hypotheses testing, experimental design, causal inference, A/B tests . If you have a passion for shipping groundbreaking data-driven customer-facing features, le arning new techn ologies every day, and working on high visibility projects with ample room for creativity, this might be a good fit for you. On the team you will join a diverse, lively group of engineers and scientists.

The work is dynamic, fast-paced, cre ative, collab orative and data-driven.


5+ yea rs of industry work experience. Good sense of product with a focus on shipping user-facing data-driven features.

Experience with Gen AI Evaluations, statistical methodologies, like hypothes e s testing, time series analysis, mathematical modeling, linear and non-linear regression, stochastic modeling

Experience with experimentation, A/B tests, caus al inference

Advanced a nalytical abilities, defining metrics , analyzing data on user interaction with our features to support data-driven decisions

Design, architect and build data insight dashboards and visualizations.

Knowledge of ML Ops. Familiarity with ML services is a plus

Some experience with system design, ML model assessment, building data pipelines, automation architecture, system deployment.

Provide thought leadership to the data-driven community by actively mentoring teammates in standard methodologies to self-serve using the most efficient code and techniques.

Python and Python based ML and Data Science frameworks

Excellent coding, analysis, and problem-solving skills.

Strong communication and collaboration skills

Master's or PhD in statistics, econometrics, operations research, applied physics, engineering, or a related quantitative field

Our compensation reflects the cost of labor across several U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $135,200 -- $250,900 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.

At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).

In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.

Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.

Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees.
Show more",4.4,Adobe,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist II,"$123,800
/yr (est.)","At Klaviyo, we value the unique backgrounds, experiences and perspectives each Klaviyo (we call ourselves Klaviyos) brings to our workplace each and every day. We believe everyone deserves a fair shot at success and appreciate the experiences each person brings beyond the traditional job requirements. If you're a close but not exact match with the description, we hope you'll still consider applying. Want to learn more about life at Klaviyo? Visit careers.klaviyo.com to see how we empower creators to own their own destiny.
About the team:
Our team is the dedicated data science resource for areas outside of R&D, such as Customer Success, Sales, and Finance. One of our key technical areas is models and analytical tools to understand our business health, which helps our internal teams take action based on those insights to improve business outcomes.





Show more",4.0,Klaviyo,"Boston, MA",1001 to 5000 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist,"$92,424
/yr (est.)","Supports customer analytics by implementing and managing day to day delivery of Customer Analytics including Customer Experience Metrics and Analysis, collaborate with offshore resources in the development of Customer Analytics data systems, data bases and design processes. The incumbent will also be responsible to develop methodology to model relationships between multivariate operational metrics, customer survey data, and customer experience data. Incumbent will perform complex quantitate and qualitative analysis to support customer experience improvement. Make recommendations regarding customer experience analytics.
Major Responsibilities
Show more",3.5,Penske Truck Leasing and Logistics,"Reading, PA",10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics,$5 to $10 billion (USD)
Data Scientist,"$96,582
/yr (est.)","See yourself at Odyssey.

Join the team as our new Data Scientist!

Who We Are & Why We’re Hiring
Odyssey Logistics & Technology Corporation (Odyssey) is a global logistics provider. Our adaptive approach to solving modern logistics challenges differentiates us in the markets we serve. Odyssey Logistics & Technology’s specialized multimodal expertise is the strategic foundation that provides clients with a full-service offering across our four operating divisions including intermodal, freight forwarding, transport & warehousing, and managed services.

Odyssey’s multimodal services offer cost-effective, end-to-end freight solutions equipped to deliver on evolving customer requirements. Combined, Odyssey delivers innovative, high-value logistics services & technology solutions to support diverse customer requirements. In addition to being certified by the American Chemistry Council as a Responsible Care® partner company we consistently exceed customer expectations by integrating analytics, carrier relationships, specialized assets, sustainability strategies and deep international expertise. Our unique approach ensures that customer shipments keep moving at full speed, even in the face of ever-changing market headwinds.

Based in vibrant Charlotte, NC Odyssey is on a journey to constantly innovate logistics. We’re actively recruiting for this key, high profile role in the company because we have experienced tremendous growth and would love for you to join us!

www.OdysseyLogistics.com/careers


The position of Data Scientist is primarily responsible to provide key support to the Global Data Services team through development of a robust AI/ML footprint within the organization, and well as helping guide the strategic use of data science principles throughout the Data and Analytics ecosystem. The Lead Data Scientist should be passionate about understanding Odyssey’s businesses and be driven to leverage technology to solve the most complex business challenges.


Qualifications
We recognize not all applicants have every skill or qualification to match a job description exactly. Odyssey values diverse experiences in other industries, and we encourage everyone who meets most required qualifications to apply. While having “desired” qualifications make for a strong candidate, we encourage applicants with alternative experiences to also apply. We are always looking for people who will bring something new to the table!


This is a hybrid in-office role in Charlotte, NC

We offer a generous compensation and benefits package including:
No relocation allowance will be considered unless specifically addressed. All applicants must be currently authorized to work in the United States.

Odyssey is an equal opportunity employer. Qualified Applicants are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender, national origin, age, genetic information, military or veteran status, sexual orientation, marital status, or any other classification protected under applicable Federal, State or Local law.

Odyssey does not discriminate on the basis of actual or perceived race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and pregnancy-related conditions), gender identity or expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, genetic information, or any other characteristic protected by applicable federal, state or local laws and ordinances.
Show more",2.9,Odyssey Logistics & Technology Corporate,"Charlotte, NC",1001 to 5000 Employees,2003,Company - Private,Shipping & Trucking,Transportation & Logistics,$1 to $5 billion (USD)
Data Scientist,"$83,110
/yr (est.)","We offer challenging and rewarding opportunities in many locations globally. With offices in the US, India. At ITCS you will have the opportunity to work alongside team members who are experts in their field and innovators in many different areas of business and IT.

If you are looking for a good opportunities for advancement or progress in your career. ITCS is the place to be.
IT Consulting Services Inc seeks Data Scientist for Fairless, PA office to apply algorithms to models predict outcomes of interest such as health, pharmaceutical, epidemiological and laboratory data for medical use. Work to apply sampling techniques to determine groups to be surveyed and use enumeration methods to better analyze future health trends. Clean and manipulate raw data using statistical software for better and more efficient health data and aid innovations in the pharmaceutical industry. May travel and relocate to various unanticipated sites throughout the US. Must have bachelorâ€™s degree in Biology, Pharmacy or related & 6 months of experience. Send resume to contacthr@itconsultservices.com. ..
Show more",4.5,IT Consulting Services,"Fairless Hills, PA",1 to 50 Employees,--,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD)
Senior Data Scientist,"$141,198
/yr (est.)","Company Description

At ServiceNow, our technology makes the world work for everyone, and our people make it possible. We move fast because the world can’t wait, and we innovate in ways no one else can for our customers and communities. By joining ServiceNow, you are part of an ambitious team of change makers who have a restless curiosity and a drive for ingenuity. We know that your best work happens when you live your best life and share your unique talents, so we do everything we can to make that possible. We dream big together, supporting each other to make our individual and collective dreams come true. The future is ours, and it starts with you.
With more than 7,700+ customers, we serve approximately 85% of the Fortune 500®, and we're proud to be one of FORTUNE 100 Best Companies to Work For® and World's Most Admired Companies™.







Show more",4.4,ServiceNow,"Austin, TX",10000+ Employees,2004,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
Data Scientist,"$87,007
/yr (est.)","Title: Data Scientst
Location: Hybrid/Southfield, MI, US
Job Type: Full-time with Benefits

Who We Are
For more than 25 years, MSX International has been a dedicated partner to leading automotive brands around the world. We support them in transforming their businesses and in managing their operations across the areas of Customer Experience, Repair Optimization, Learning and Insights. We focus on helping our clients generate more value for their customers. With over 5,000 employees based in more than 80 countries worldwide, our teams provide industry-leading expertise. We have combined our deep industry expertise with cutting-edge technology solutions to help our automotive clients increase revenue and reduce costs, while enhancing operational efficiency and improving customer satisfaction. Our goal is to help our customers reach their full potential and to excel as their global partner of choice.





Show more",3.7,MSX INTERNATIONAL,"Southfield, MI",5001 to 10000 Employees,--,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
Data Scientist,"$149,000
/yr (est.)","The Role
Prosper is seeking a Data Scientist for the Data Science team under our Credit Risk Analytics vertical. You will become a core contributor with machine learning expertise on the credit risk team and deliver results that directly impact our business.
Problems You Will Solve
Build industry-leading machine learning models for managing credit and fraud risks
Leverage multiple complex data sources such as credit bureau reports and customer supplied information at large scale to optimize approve/decline and credit line assignment decisions







Show more",3.4,Prosper,United States,201 to 500 Employees,2005,Company - Private,Banking & Lending,Financial Services,$100 to $500 million (USD)
Mid-Level Data Scientist,"$139,175
/yr (est.)","At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Boeing Defense, Space & Security (BDS) is seeking a Mid-Level Data Scientist to join our team located in Multiple Locations.
This position can be located in the following cities: Seattle, WA; Arlington, VA; Denver, CO; Long Beach, CA; Miami, FL; New York, NY; North Charleston, SC; Plano, TX; Saint Louis, MO; San Francisco, CA.
Boeing is the world's largest aerospace company and leading manufacturer of commercial jetliners, defense, space and security systems, and service provider of aftermarket support

U.S. Government Export Control Status: This position must meet export control compliance requirements. To meet export control compliance requirements, a “U.S. Person” as defined by 22 C.F.R. §120.15 is required. “U.S. Person” includes U.S. Citizen, lawful permanent resident, refugee, or asylee.

US based job, US Person required

Show more",3.9,BOEING,"Seattle, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Expert Data Scientist,"$141,070
/yr (est.)","Requisition ID # 154578

Job Category: Accounting / Finance
Job Level: Individual Contributor
Business Unit: Gen Counsel, Ethics, Risk & Compliance
Work Type: Hybrid
Job Location: Oakland

Department Overview

The Enterprise Risk and Operational Risk Management (EORM) organization is responsible for enabling the business to effectively manage risk in key areas of the enterprise. EORM organization is charged with overseeing all operational risk management related to PG&E’s operations and public safety including evaluating risks associated with wildfires, nuclear, dams, natural gas, cyberattacks and natural disasters.

Position Summary

The position supports the enterprise risk analytics function of providing quantitative risk analysis and modeling for effectively managing a variety of enterprise and operational risks that PG&E face. The work that the position performs will inform important decisions at PG&E and support various regulatory filings such as Risk Assessment and Mitigation Phase (RAMP), General Rate Case (GRC), Wildfire Mitigation Plan (WMP). The position will work on continuous improvement of quantitative assessment of risk and its mitigations, and evolvement of the analytical tools (data processing, algorithms, python codes, excel files, foundry, etc) that enable consistent and useful evaluation of the risks and mitigations across the company. You will be responsible for designing, developing, and executing scripts, programs, models, algorithms, and processes, using structured and unstructured data from disparate sources and sizes, generating actionable insights for strategy and policy development, process improvement, and product enhancement. You will also work on technical development phases: data engineering, analytics/modeling, and visualization/user interface; interact with technical and non-technical clients to resolve analysis and technical issues; and work with teams, clients, and senior leadership throughout the development cycle practicing continuous improvement.

This position is hybrid, working from your remote office and Oakland General Office once per week and based on business needs.

PG&E is providing the salary range that the company in good faith believes it might pay for this position at the time of the job posting. This compensation range is specific to the locality of the job. The actual salary paid to an individual will be based on multiple factors, including, but not limited to, specific skills, education, licenses or certifications, experience, market value, geographic location, and internal equity. This job is also eligible to participate in PG&E’s discretionary incentive compensation programs.


$132,000
$226,000

Job Responsibilities

Share and collaborate with other PG&E data science professionals.
Work closely with domain experts to develop relevant domain knowledge in the electric and gas utility, as well as knowledge of related datasets.
Gather, clean, transform, and/or reduce data from dissimilar sources from across PG&E.
Work with business partners to advance business processes, based on analytical findings.
Apply machine learning and other analytical modeling methods to develop robust and reliable analytical models, including visualizations, within PG&E’s software development environment.
Document data sources, methodology, and model evaluation metrics.
Serve as the technical lead for the development of high complexity models.
Assesses business implications associated with modeling assumptions, inputs, methodologies, technical implementation, analytic procedures and processes, and advanced data analysis.
Works with sponsor departments and company subject matter experts to understand application and potential of data analytic solutions to that create value for end-users.
Presents findings and makes recommendations to senior management.
Qualifications


Masters Degree in Data Science, Machine Learning, Computer Science, Physics, Econometrics or Economics, Engineering, Mathematics, Applied Sciences, Statistics, or equivalent field.
6 years of job-related experience


Master’s or PhD degree in statistics, data science, decision science, computer science, quantitative analysis, information systems, operations research, business, engineering, financial engineering, economics, or other equivalent fields
Relevant industry experience (electric or gas utility, analytical consulting, etc)
Experience in quantitative risk analysis or Probabilistic Risk Assessment
Strong foundation of probability, probability distributions, statistics and risk analysis
Competent programming skills in a language especially in Python and familiarity with Git
Demonstrated experience of Monte Carlo simulation methods and models
Familiarity and experience with Bayesian statistics and inference
Ability to work independently and proactively and to take initiative to improve analytical methods or processes
Experience with the elements of Model Lifecycle Management
Experience using retrieving data from structured database using SQL
Strong Excel and PowerPoint skills
Strong data visualization skills and techniques for communicating risk-related data and modeling results in a clear and visually compelling manner
Strong problem-solving, analytical, and organizational skills with attention to detail
Ability to share knowledge, information and progress with the team effectively and efficiently
Effectively copes with change, makes decisions and acts without having complete information and comfortably handles risk and uncertainty.
Ability to research and apply knowledge, skills, and techniques to risk analysis
Ability to manage conflicts in a positive, non-abrasive manner
Ability to communicate with peers, leadership, and stakeholders in a clear and effective manner
Highly motivated and self-driven
Ability to collaborate with people with diverse background and skillsets
Ability to effectively manage and prioritize multiple and diverse tasks and adhere to tight deadlines
Knowledge of the business and its environment, key issues, and trends
Competency with relevant project management tools, theories and techniques as needed to support the timely and successful execution of project requirements
Competency with commonly used data science and/or operations research programming languages, packages, and tools
Proficiency in synthesizing complex information into clear insights and translating those insights into decisions and actions
Ability to clearly communicate complex technical details and insights to colleagues and stakeholders
Ability to develop, coach, teach and/or mentor others to meet both their career goals and the organization goals
#featuredjob
Show more",4.0,PG&E Corporation,"Oakland, CA",10000+ Employees,1905,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
Data Scientist for AI,"$126,600
/yr (est.)","Who We Are
At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward – always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our employees, our customers and our communities.
The Role
Introduction
Kyndryl spun off from IBM in November 2021, instantly becoming the largest infrastructure services provider in the world with many of the Fortune 500 already among its clients. But we don’t want to be JUST an infrastructure services provider, we want and need to find innovative ways to do more for those clients. With that in mind, we have been aggressively expanding our consulting ranks in innovative areas like cloud computing, software development, and data. This expanded consulting team will work with new and existing clients to help them achieve more.


Show more",3.7,Kyndryl,"New York, NY",10000+ Employees,2021,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,"$87,007
/yr (est.)","Title: Data Scientst
Location: Hybrid/Southfield, MI, US
Job Type: Full-time with Benefits

Who We Are
For more than 25 years, MSX International has been a dedicated partner to leading automotive brands around the world. We support them in transforming their businesses and in managing their operations across the areas of Customer Experience, Repair Optimization, Learning and Insights. We focus on helping our clients generate more value for their customers. With over 5,000 employees based in more than 80 countries worldwide, our teams provide industry-leading expertise. We have combined our deep industry expertise with cutting-edge technology solutions to help our automotive clients increase revenue and reduce costs, while enhancing operational efficiency and improving customer satisfaction. Our goal is to help our customers reach their full potential and to excel as their global partner of choice.





Show more",3.7,MSX INTERNATIONAL,"Southfield, MI",5001 to 10000 Employees,--,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
Data Scientist,"$149,000
/yr (est.)","The Role
Prosper is seeking a Data Scientist for the Data Science team under our Credit Risk Analytics vertical. You will become a core contributor with machine learning expertise on the credit risk team and deliver results that directly impact our business.
Problems You Will Solve
Build industry-leading machine learning models for managing credit and fraud risks
Leverage multiple complex data sources such as credit bureau reports and customer supplied information at large scale to optimize approve/decline and credit line assignment decisions







Show more",3.4,Prosper,United States,201 to 500 Employees,2005,Company - Private,Banking & Lending,Financial Services,$100 to $500 million (USD)
Mid-Level Data Scientist,"$139,175
/yr (est.)","At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Boeing Defense, Space & Security (BDS) is seeking a Mid-Level Data Scientist to join our team located in Multiple Locations.
This position can be located in the following cities: Seattle, WA; Arlington, VA; Denver, CO; Long Beach, CA; Miami, FL; New York, NY; North Charleston, SC; Plano, TX; Saint Louis, MO; San Francisco, CA.
Boeing is the world's largest aerospace company and leading manufacturer of commercial jetliners, defense, space and security systems, and service provider of aftermarket support

U.S. Government Export Control Status: This position must meet export control compliance requirements. To meet export control compliance requirements, a “U.S. Person” as defined by 22 C.F.R. §120.15 is required. “U.S. Person” includes U.S. Citizen, lawful permanent resident, refugee, or asylee.

US based job, US Person required

Show more",3.9,BOEING,"Seattle, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Expert Data Scientist,"$141,070
/yr (est.)","Requisition ID # 154578

Job Category: Accounting / Finance
Job Level: Individual Contributor
Business Unit: Gen Counsel, Ethics, Risk & Compliance
Work Type: Hybrid
Job Location: Oakland

Department Overview

The Enterprise Risk and Operational Risk Management (EORM) organization is responsible for enabling the business to effectively manage risk in key areas of the enterprise. EORM organization is charged with overseeing all operational risk management related to PG&E’s operations and public safety including evaluating risks associated with wildfires, nuclear, dams, natural gas, cyberattacks and natural disasters.

Position Summary

The position supports the enterprise risk analytics function of providing quantitative risk analysis and modeling for effectively managing a variety of enterprise and operational risks that PG&E face. The work that the position performs will inform important decisions at PG&E and support various regulatory filings such as Risk Assessment and Mitigation Phase (RAMP), General Rate Case (GRC), Wildfire Mitigation Plan (WMP). The position will work on continuous improvement of quantitative assessment of risk and its mitigations, and evolvement of the analytical tools (data processing, algorithms, python codes, excel files, foundry, etc) that enable consistent and useful evaluation of the risks and mitigations across the company. You will be responsible for designing, developing, and executing scripts, programs, models, algorithms, and processes, using structured and unstructured data from disparate sources and sizes, generating actionable insights for strategy and policy development, process improvement, and product enhancement. You will also work on technical development phases: data engineering, analytics/modeling, and visualization/user interface; interact with technical and non-technical clients to resolve analysis and technical issues; and work with teams, clients, and senior leadership throughout the development cycle practicing continuous improvement.

This position is hybrid, working from your remote office and Oakland General Office once per week and based on business needs.

PG&E is providing the salary range that the company in good faith believes it might pay for this position at the time of the job posting. This compensation range is specific to the locality of the job. The actual salary paid to an individual will be based on multiple factors, including, but not limited to, specific skills, education, licenses or certifications, experience, market value, geographic location, and internal equity. This job is also eligible to participate in PG&E’s discretionary incentive compensation programs.


$132,000
$226,000

Job Responsibilities

Share and collaborate with other PG&E data science professionals.
Work closely with domain experts to develop relevant domain knowledge in the electric and gas utility, as well as knowledge of related datasets.
Gather, clean, transform, and/or reduce data from dissimilar sources from across PG&E.
Work with business partners to advance business processes, based on analytical findings.
Apply machine learning and other analytical modeling methods to develop robust and reliable analytical models, including visualizations, within PG&E’s software development environment.
Document data sources, methodology, and model evaluation metrics.
Serve as the technical lead for the development of high complexity models.
Assesses business implications associated with modeling assumptions, inputs, methodologies, technical implementation, analytic procedures and processes, and advanced data analysis.
Works with sponsor departments and company subject matter experts to understand application and potential of data analytic solutions to that create value for end-users.
Presents findings and makes recommendations to senior management.
Qualifications


Masters Degree in Data Science, Machine Learning, Computer Science, Physics, Econometrics or Economics, Engineering, Mathematics, Applied Sciences, Statistics, or equivalent field.
6 years of job-related experience


Master’s or PhD degree in statistics, data science, decision science, computer science, quantitative analysis, information systems, operations research, business, engineering, financial engineering, economics, or other equivalent fields
Relevant industry experience (electric or gas utility, analytical consulting, etc)
Experience in quantitative risk analysis or Probabilistic Risk Assessment
Strong foundation of probability, probability distributions, statistics and risk analysis
Competent programming skills in a language especially in Python and familiarity with Git
Demonstrated experience of Monte Carlo simulation methods and models
Familiarity and experience with Bayesian statistics and inference
Ability to work independently and proactively and to take initiative to improve analytical methods or processes
Experience with the elements of Model Lifecycle Management
Experience using retrieving data from structured database using SQL
Strong Excel and PowerPoint skills
Strong data visualization skills and techniques for communicating risk-related data and modeling results in a clear and visually compelling manner
Strong problem-solving, analytical, and organizational skills with attention to detail
Ability to share knowledge, information and progress with the team effectively and efficiently
Effectively copes with change, makes decisions and acts without having complete information and comfortably handles risk and uncertainty.
Ability to research and apply knowledge, skills, and techniques to risk analysis
Ability to manage conflicts in a positive, non-abrasive manner
Ability to communicate with peers, leadership, and stakeholders in a clear and effective manner
Highly motivated and self-driven
Ability to collaborate with people with diverse background and skillsets
Ability to effectively manage and prioritize multiple and diverse tasks and adhere to tight deadlines
Knowledge of the business and its environment, key issues, and trends
Competency with relevant project management tools, theories and techniques as needed to support the timely and successful execution of project requirements
Competency with commonly used data science and/or operations research programming languages, packages, and tools
Proficiency in synthesizing complex information into clear insights and translating those insights into decisions and actions
Ability to clearly communicate complex technical details and insights to colleagues and stakeholders
Ability to develop, coach, teach and/or mentor others to meet both their career goals and the organization goals
#featuredjob
Show more",4.0,PG&E Corporation,"Oakland, CA",10000+ Employees,1905,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
Data Scientist for AI,"$126,600
/yr (est.)","Who We Are
At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward – always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our employees, our customers and our communities.
The Role
Introduction
Kyndryl spun off from IBM in November 2021, instantly becoming the largest infrastructure services provider in the world with many of the Fortune 500 already among its clients. But we don’t want to be JUST an infrastructure services provider, we want and need to find innovative ways to do more for those clients. With that in mind, we have been aggressively expanding our consulting ranks in innovative areas like cloud computing, software development, and data. This expanded consulting team will work with new and existing clients to help them achieve more.


Show more",3.7,Kyndryl,"New York, NY",10000+ Employees,2021,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Junior Consultant in Strategy & Data Science - New York - May 2024,"$75,000
/yr (est.)","Start date of March - September 2024

Ekimetrics is a leader in data science and AI-powered solutions. For over 16 years, we’ve pioneered the use of AI and advanced data science applied to unified marketing measurement, holistic business optimization and broad-ranging sustainability goals.
Our goal: combine high impact with long-term business purpose.
Ekimetrics is one of the world’s largest independent analytics firms with offices on 3 continents, and with more than 400 data experts. Since 2006, we have led more than a thousand data science projects in over 50 countries, generating more than $1bn in profit for our customers.












Show more",4.1,Ekimetrics,United States,51 to 200 Employees,2006,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD)
Data Scientist I,"$77,500
/yr (est.)","Who we are: Trusaic is a regulatory compliance software company focused on creating better work environments, for everyone. Our mission is to help organizations create authentic change, whether that be by achieving pay equity, fostering a more diverse and inclusive workforce, increasing bottom lines, or offering more affordable healthcare.
Every day we wake up driven to make the working world a better place. If you’re interested in working in an environment where your individual contributions make a big impact, then Trusaic is the place for you.
Our culture: A culture fit is arguably one the most important aspects of a job opportunity. At Trusaic we pride ourselves in the people who make up our small, but growing team. We wear multiple hats and we help each other because the collective good of our company is made up by our individual efforts. We’re always looking to improve our processes and no workday is the same. We have a collaborative spirit, passionate hearts, and strong minds.


Show more",4.0,Trusaic,"Los Angeles, CA",51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
